phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
7487021,https://attmailgfedrternbqwjhkmbfgpktygfghtdm.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=7487021,2022-04-12T17:01:01+00:00,yes,2022-04-12T17:12:32+00:00,yes,Other
7487012,https://binjolafilms.com/,http://www.phishtank.com/phish_detail.php?phish_id=7487012,2022-04-12T16:26:54+00:00,yes,2022-04-12T16:42:46+00:00,yes,Other
7487000,https://aeonxq.tokyo/jp/login,http://www.phishtank.com/phish_detail.php?phish_id=7487000,2022-04-12T16:08:18+00:00,yes,2022-04-12T16:22:56+00:00,yes,Other
7486984,https://lnkd.in/eZcmUWpr?ksfjjle,http://www.phishtank.com/phish_detail.php?phish_id=7486984,2022-04-12T15:48:31+00:00,yes,2022-04-12T16:10:49+00:00,yes,Other
7486983,https://notificaciones.wpengine.com/cor/Correosss/Seleccione_medio_de_pago.php,http://www.phishtank.com/phish_detail.php?phish_id=7486983,2022-04-12T15:47:51+00:00,yes,2022-04-12T16:10:49+00:00,yes,"ING Direct"
7486978,https://organic-woolen-drum.glitch.me/a.html,http://www.phishtank.com/phish_detail.php?phish_id=7486978,2022-04-12T15:37:57+00:00,yes,2022-04-12T15:52:26+00:00,yes,Other
7486959,http://a0659033.xsph.ru/,http://www.phishtank.com/phish_detail.php?phish_id=7486959,2022-04-12T15:27:32+00:00,yes,2022-04-12T15:42:06+00:00,yes,Other
7486957,https://forms.zohopublic.com/lifemark7881/form/SIGNINYOURBTACCOUNTCORRECTLY/formperma/FcWfpGn_dIDpFBAy9_PMjb7TUh9-Xlrxm2DXGECe3x0,http://www.phishtank.com/phish_detail.php?phish_id=7486957,2022-04-12T15:23:11+00:00,yes,2022-04-12T15:42:06+00:00,yes,Other
7486956,http://858zmzpe.hyperphp.com/,http://www.phishtank.com/phish_detail.php?phish_id=7486956,2022-04-12T15:23:01+00:00,yes,2022-04-12T15:42:06+00:00,yes,Other
7486948,https://orange-facture.club/Sy37fZP,http://www.phishtank.com/phish_detail.php?phish_id=7486948,2022-04-12T15:21:13+00:00,yes,2022-04-12T15:42:06+00:00,yes,Other
7486947,https://sites.google.com/view/apps-mbl2/accueil,http://www.phishtank.com/phish_detail.php?phish_id=7486947,2022-04-12T15:21:02+00:00,yes,2022-04-12T15:42:06+00:00,yes,Other
7486940,https://highestsocietydesigns.com/teams/appsuite/,http://www.phishtank.com/phish_detail.php?phish_id=7486940,2022-04-12T15:14:11+00:00,yes,2022-04-12T15:33:07+00:00,yes,Microsoft
7486937,https://inof-auoneo-jp.kyldmlysn.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7486937,2022-04-12T15:11:57+00:00,yes,2022-04-12T15:33:07+00:00,yes,Other
7486933,https://inof-auoneo-jp.ogijpxh.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7486933,2022-04-12T15:09:32+00:00,yes,2022-04-12T15:33:07+00:00,yes,Other
7486906,https://faturamagaluzine.com/src/etc.clientlibs/sharedcomponents/clientlibs/clientlib-vendor/jquery-ui/css/images/ui-icons_555555_256x240.html,http://www.phishtank.com/phish_detail.php?phish_id=7486906,2022-04-12T15:00:22+00:00,yes,2022-04-12T15:13:14+00:00,yes,Other
7486905,https://00bhcr1ahuujrqkhwuydng5zbdh1qmidguactoq8810383onstruction7721.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=7486905,2022-04-12T15:00:04+00:00,yes,2022-04-12T15:13:14+00:00,yes,Other
7486899,https://sites.google.com/view/applkactu/accueil,http://www.phishtank.com/phish_detail.php?phish_id=7486899,2022-04-12T14:57:36+00:00,yes,2022-04-12T15:10:04+00:00,yes,Other
